name,cv_delta,cv_se,cv_z,ho_delta,ho_se,ho_z,verdict,min_z,source,cv_acc,ho_acc,pos_share_ho,theme,comb_z
FRAC_POS_5,-0.000916470280178,0.0005990068078989,-1.5299830788112374,9.057971014492765e-05,0.0012865901697138,0.070402924161213,noise,,screen_ordinary_part3.csv,0.5189868734132541,0.5230978260869565,0.5946632782719187,ordinary,-1.4595801546500244
FRAC_POS_10,-0.0007200837915684,0.0006014391634642,-1.1972678789669298,-0.0009510869565217,0.001319559924953,-0.7207607161573972,noise,,screen_ordinary_part3.csv,0.5191832599018636,0.5220561594202899,0.5941590528629919,ordinary,-1.918028595124327
FRAC_POS_20,0.0006859296196363,0.0005889119630798,1.1647405090042529,0.0001924818840579,0.0011871023234116,0.1621443074130251,noise,,screen_ordinary_part3.csv,0.5205892733130686,0.5231997282608696,0.5966297573667332,ordinary,1.326884816417278
FRAC_POS_5_MINUS_20,-0.000674544895659,0.0005863838833213,-1.1503469226308674,0.0004415760869565,0.0012204415816843,0.3618166519261752,noise,,screen_ordinary_part3.csv,0.5192287987977732,0.5234488224637681,0.5913353905730018,ordinary,-0.7885302707046922
AC1_20,-0.000574928560857,0.0005998682879144,-0.9584246616135028,0.0014945652173913,0.0012628697819382,1.1834674000176173,noise,,screen_ordinary_part4.csv,0.5193284151325751,0.524501811594203,0.5934027147496017,ordinary,0.22504273840411448
AC2_20,2.8461809943418023e-05,0.0005987994947562,0.0475314528363187,-0.000101902173913,0.0013676459099234,-0.0745091790014182,noise,,screen_ordinary_part4.csv,0.5199318055033756,0.5229053442028986,0.5945926867146689,ordinary,-0.026977726165099497
AC3_20,0.0006375445427325,0.0005946193969669,1.0721892793685908,0.0002717391304347,0.0012740548220488,0.2132868427104108,noise,,screen_ordinary_part4.csv,0.5205408882361647,0.5232789855072464,0.5927673907343539,ordinary,1.2854761220790016
AC1_10,-7.969306784157018e-05,0.000612926345689,-0.1300206271146332,-0.0001132246376811,0.0011922687979027,-0.0949656972323053,noise,,screen_ordinary_part4.csv,0.5198236506255905,0.5228940217391305,0.5908815877049677,ordinary,-0.2249863243469385
AR1_PRED,0.0001707708596605,0.0006148662273065,0.2777366068853129,0.0005548007246376,0.0012564352934283,0.4415672876586073,noise,,screen_ordinary_part4.csv,0.5200741145530927,0.5235620471014493,0.5927472217179968,ordinary,0.7193038945439202
RET1_X_AC1,0.0003529264432983,0.0005917173612173,0.5964442932218496,-0.0013473731884057,0.0012365883604149,-1.0895890916793631,noise,,screen_ordinary_part4.csv,0.5202562701367306,0.5216598731884058,0.5952078417135597,ordinary,-0.4931447984575136
VR_2_20,0.0007656226874779,0.0006241638939892,1.2266372580197973,0.0001358695652173,0.0012261867895404,0.1108065805115317,noise,,screen_ordinary_part4.csv,0.5206689663809101,0.523143115942029,0.5930497569633529,ordinary,1.337443838531329
VR_5_20,-0.000691621981625,0.0006049999979585,-1.1431768329896954,0.0008038949275362,0.0012957258753742,0.6204205247534045,noise,,screen_ordinary_part4.csv,0.5192117217118071,0.5238111413043478,0.5935943204049938,ordinary,-0.5227563082362909
STD_5,0.0002020788505982,0.0006091959597162,0.3317140361410067,-0.0014492753623188,0.0012723680472055,-1.1390378479731933,noise,,screen_ordinary_part4.csv,0.5201054225440305,0.5215579710144927,0.5881285169722272,ordinary,-0.8073238118321866
STD_10,0.0002220021175586,0.0006057004655404,0.3665212926005624,-0.0003849637681159,0.0012355292615909,-0.3115780257767804,noise,,screen_ordinary_part4.csv,0.5201253458109908,0.5226222826086957,0.5928682358161392,ordinary,0.05494326682378198
VOL_RATIO_5_20,0.0008823161082459,0.0006184640663363,1.4266246921548211,0.0005661231884057,0.0013223946996236,0.4281045504544902,noise,,screen_ordinary_part4.csv,0.5207856598016781,0.5235733695652174,0.5965188277767693,ordinary,1.8547292426093114
